keys,ja,en
ADDON_NOT_READY,Godot Task アドオンは有効化されていません。,Godot Task add-on is not enabled.
EMPTY_INIT_ARRAY,INIT 配列が空です。,INIT array is empty.
BAD_INIT,不正な INIT を指定しました。,An invalid INIT was specified.
BAD_TIMEOUT,不正なタイムアウトを指定しました。,An invalid timeout was specified.
BAD_OBJECT,不正なオブジェクトを指定しました。,An invalid object was specified.
BAD_OBJECT_ASSOCIATED_WITH_METHOD,メソッドに関連付けられているオブジェクトが無効です。,The object associated with the method is invalid.
BAD_OBJECT_ASSOCIATED_WITH_SIGNAL,シグナルに関連付けられているオブジェクトが無効です。,The object associated with the signal is invalid.
BAD_METHOD_NAME,不正なメソッド '{0}' を指定しました。,An invalid method '{0}' was specified.
BAD_METHOD_ARGUMENT_COUNT,メソッド '{0}' に対し、不正な引数数 {1} を指定しました。,An invalid argument count {1} was specified for method '{0}'.
BAD_METHOD_ARGUMENT_SIGNATURE,メソッド '{0}' のシグネチャが無効です。,The signature for method '{0}' is invalid.
BAD_SIGNAL_NAME,不正なシグナル '{0}' を指定しました。,An invalid signal '{0}' was specified.
SIGNAL_SIGNATURE_NOT_MATCH,シグナル '{0}' のシグネチャに一致しない、不正なマッチを指定しました。,An invalid match that does not match the signature of signal '{0}' was specified.
BAD_UNWRAP_DEPTH,無効なアンラップ回数を指定しました。,An invalid unwrap count was specified.
UNKNOWN_STATE_RETURNED_BY_ANTECEDENT,入力したソースタスク {0} が不明な状態を返しました。(実装に問題があります),The input source task {0} returned an unknown state. (There is an implementation issue)
UNKNOWN_STATE_RETURNED_BY_INIT,入力した {1} 番目の INIT タスク {0} が不明な状態を返しました。(実装に問題があります),The input {1}th INIT task {0} returned an unknown state. (There is an implementation issue)
TASK_STATE_PENDING,(未決定),(Pending)
TASK_STATE_PENDING_WITH_WAITERS,(未決定、待機有り),"(Pending, with waiters)"
TASK_STATE_CANCELED,(キャンセル),(Canceled)
TASK_STATE_COMPLETED,(完了),(Completed)
TASK_RESOURCE_LOADER_BAD_RESOURCE,不正なリソース '{0}' ({1}) を読み込もうとしました。,Attempted to load an invalid resource '{0}' ({1}).
TASK_RESOURCE_LOADER_FAILED,リソース '{0}' ({1}) の読み込み中に何らかのエラーが発生しました。,Some error occurred while loading resource '{0}' ({1}).
CANCEL_STATE_PENDING,(未決定),(Pending)
CANCEL_STATE_REQUESTED,(要求済み),(Requested)
